id,user_id,created_at,updated_at,name,category,color,image_url,processed_image_url,texture,primary_color,fabric_primary,pattern_type,fit_type,length,style_aesthetic,formality_level,style_notes_detailed,suitable_occasions,season,weather_suitability,pattern_description,item_type,original_image_url
0002d0ea-5c0b-4ac3-bd86-ab63c902c919,5ed8e46a-15bd-4a99-a08a-29275ff01898,2025-12-03 12:44:14.911044+00,2025-12-03 12:44:24.817243+00,White Cotton Casual Pants,Bottoms,white,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/5ed8e46a-15bd-4a99-a08a-29275ff01898/wardrobe_gen_1764765840630_2_White-Cotton-Casual-Pants.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/5ed8e46a-15bd-4a99-a08a-29275ff01898/wardrobe_gen_1764765840630_2_White-Cotton-Casual-Pants.png,smooth,white,cotton,solid,regular,full_length,"[""casual"",""minimalist""]",casual,"Easy to style white casual pants, pair with a tucked tee and sneakers for a relaxed look.","[""everyday"",""casual_dinner"",""travel"",""brunch""]","[""spring"",""summer""]",warm,"solid color, no pattern",Casual Pants,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/5ed8e46a-15bd-4a99-a08a-29275ff01898/wardrobe_gen_1764765840630_2_White-Cotton-Casual-Pants.png
0006dfc0-d62f-4d88-90e3-edd920a41a9b,e10c2463-139b-4f7f-81ac-049be55fca27,2025-11-08 22:26:25.916079+00,2025-11-08 22:26:25.916079+00,Bangles,Accessories,#D3D3D3,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e10c2463-139b-4f7f-81ac-049be55fca27/wardrobe_gen_1762640781659_2_Bangles.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e10c2463-139b-4f7f-81ac-049be55fca27/wardrobe_gen_1762640781659_2_Bangles.png,smooth,,,,,,,,,,,,,,
000b9870-adb4-4070-99fc-1d958e1b8e38,e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9,2025-12-07 03:12:58.998347+00,2025-12-07 03:13:11.625214+00,Beige Chunky Sneakers,Shoes,beige,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765077178169_2_Beige-Chunky-Sneakers.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765077178169_2_Beige-Chunky-Sneakers.png,smooth,beige,synthetic,solid,relaxed,ankle_length,"[""casual"",""streetwear"",""sporty""]",casual,Go-to sneakers for everyday wear. Pair with jeans or joggers for a relaxed look.,"[""everyday"",""college"",""casual_dinner"",""travel"",""outdoor""]","[""spring"",""summer"",""fall""]",all_weather,"solid color, no pattern",Sneakers,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765077178169_2_Beige-Chunky-Sneakers.png
001ec815-faa5-41e7-862b-b8052fe5ec37,e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9,2025-12-07 02:58:39.756328+00,2025-12-07 02:58:43.820918+00,White Ribbed Longsleeve Top,Tops,white,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765076295115_0_White-Ribbed-Longsleeve-Top.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765076295115_0_White-Ribbed-Longsleeve-Top.png,ribbed,white,knit,solid,slim,waist_length,"[""casual"",""minimalist""]",casual,"A versatile basic. Pair with jeans or a skirt for an easy, everyday look.","[""everyday"",""college"",""brunch"",""casual_dinner""]","[""spring"",""summer"",""fall"",""winter""]",all_weather,"solid color, no pattern",Longsleeve Top,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/e6ef84bc-c38f-4cbb-8ce0-42d1ae2a7ee9/wardrobe_gen_1765076295115_0_White-Ribbed-Longsleeve-Top.png
00213159-b051-407b-b7aa-2311cb9578f5,f8211159-8940-4e45-a163-6fd6805ad6b0,2025-11-08 16:55:38.585412+00,2025-11-08 16:55:38.585412+00,Shoes,Shoes,#778899,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/f8211159-8940-4e45-a163-6fd6805ad6b0/wardrobe_gen_1762620919492_2_Shoes.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/f8211159-8940-4e45-a163-6fd6805ad6b0/wardrobe_gen_1762620919492_2_Shoes.png,smooth,,,,,,,,,,,,,,
0032fb83-7be7-4970-9d1b-785f38e08e73,c53af42a-30da-48d8-8f0d-774df980968d,2025-11-26 07:55:49.167831+00,2025-11-26 07:55:49.167831+00,White Crochet Knit Cardigan,Outerwear,#F5F5DC,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/c53af42a-30da-48d8-8f0d-774df980968d/wardrobe_gen_1764143725616_1_White-Crochet-Knit-Cardigan.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/c53af42a-30da-48d8-8f0d-774df980968d/wardrobe_gen_1764143725616_1_White-Crochet-Knit-Cardigan.png,soft,#F5F5DC,knit,solid,regular,waist,"[""bohemian""]",casual,Crochet knit cardigan with tie closure. Perfect for layering in spring or summer.,"[""everyday""]","[""spring"",""summer"",""fall""]",mild,,,
003592aa-5708-4226-9e3e-684e1240eaa6,0d3635af-0100-41eb-b358-eb1465c1a7a9,2025-12-03 12:49:28.332115+00,2025-12-03 12:49:34.4487+00,Maroon Knit Top,Tops,maroon,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/0d3635af-0100-41eb-b358-eb1465c1a7a9/wardrobe_gen_1764766154448_1_Maroon-Knit-Top.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/0d3635af-0100-41eb-b358-eb1465c1a7a9/wardrobe_gen_1764766154448_1_Maroon-Knit-Top.png,soft,maroon,knit,solid,regular,hip_length,"[""casual"",""minimalist""]",casual,Style with dark wash jeans and ankle boots for a chic and comfortable everyday outfit.,"[""everyday"",""college"",""casual_dinner"",""brunch""]","[""fall"",""winter""]",mild,"solid color, no pattern",Knit Top,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/0d3635af-0100-41eb-b358-eb1465c1a7a9/wardrobe_gen_1764766154448_1_Maroon-Knit-Top.png
00383b9f-253b-4be3-aab9-19eaa7f726b2,2bee34e1-ee17-407c-a792-3ee63e77c503,2025-12-04 07:21:36.865979+00,2025-12-04 07:21:38.484478+00,Beige Leather Sandals,Shoes,beige,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/2bee34e1-ee17-407c-a792-3ee63e77c503/wardrobe_gen_1764832882656_1_Beige-Leather-Sandals.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/2bee34e1-ee17-407c-a792-3ee63e77c503/wardrobe_gen_1764832882656_1_Beige-Leather-Sandals.png,smooth,beige,leather,solid,regular,null,"[""casual"",""minimalist""]",casual,"Wear with a sundress or shorts for a relaxed, everyday style.","[""everyday"",""brunch"",""casual_dinner"",""travel""]","[""spring"",""summer""]",warm,"solid color, no pattern",Sandals,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/2bee34e1-ee17-407c-a792-3ee63e77c503/wardrobe_gen_1764832882656_1_Beige-Leather-Sandals.png
0039c376-a92d-4c2f-93a1-15c0156a78f8,c078ab7c-c2ff-4fd3-8c5f-f6b821018cc5,2025-11-10 04:29:34.484401+00,2025-11-10 04:29:34.484401+00,Black Shoes,Shoes,#000000,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/c078ab7c-c2ff-4fd3-8c5f-f6b821018cc5/wardrobe_gen_1762748973208_2_Black-Shoes.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/c078ab7c-c2ff-4fd3-8c5f-f6b821018cc5/wardrobe_gen_1762748973208_2_Black-Shoes.png,smooth,,,,,,,,,,,,,,
003fcc5a-b6ea-4ef5-86e5-3f7204dbe482,d4e104a6-49ac-4c1f-b0dc-49c5f462e0bb,2025-11-14 15:19:05.178397+00,2025-11-14 15:19:05.178397+00,Adidas Campus Suede Low Sneakers,Shoes,#A9B481,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/d4e104a6-49ac-4c1f-b0dc-49c5f462e0bb/wardrobe_gen_1763133543554_0_Adidas-Campus-Suede-Low-Sneakers.png,https://rgmlgeomgpzysqgqvhwm.supabase.co/storage/v1/object/public/outfits/d4e104a6-49ac-4c1f-b0dc-49c5f462e0bb/wardrobe_gen_1763133543554_0_Adidas-Campus-Suede-Low-Sneakers.png,smooth,#A9B481,suede,solid,regular_fit,,"[""streetwear"",""casual"",""athletic""]",casual,Adidas Campus low-top sneakers featuring a sage green suede upper with classic white three-stripe branding on the sides. The shoes have a white rubber midsole and a gum rubber outsole. Lace up closure with tonal laces.,"[""everyday"",""casual_outing""]","[""spring"",""summer"",""fall"",""all_season""]",versatile,,,
